Residual,Property,Pearson_r,Pearson_p,Spearman_r,Spearman_p
res_u0_pred,gap,-0.19810416209648607,1.7579900938701344e-118,-0.16977735601234833,4.456753190475954e-87
res_u0_pred,mu,-0.15508600372573103,8.476131776136023e-73,-0.19485520144916813,1.287226755458004e-114
res_u0_pred,homo,0.14975410989143134,5.983857028349706e-68,0.2368245219864601,6.306254544987515e-170
res_u0_pred,lumo,-0.13982019982550886,2.195944003087061e-59,-0.08171507483116491,2.8871391366802432e-21
res_gap_pred,gap,0.47445546025452773,0.0,0.46719101527729906,0.0
res_gap_pred,mu,-0.03892638826744815,6.674614970085235e-06,-0.01939613017701998,0.024864218324992828
res_gap_pred,homo,-0.35645612083213474,0.0,-0.3904738834182118,0.0
res_gap_pred,lumo,0.33573913686724627,0.0,0.32856159289864884,0.0
res_mu_pred,gap,-0.049064754056911304,1.3620454847347727e-08,-0.044224770676094025,3.097762439939213e-07
res_mu_pred,mu,0.6114685061273943,0.0,0.6050721571722654,0.0
res_mu_pred,homo,0.023452611604194262,0.006671180957234293,-0.047033608796881655,5.245846189342916e-08
res_mu_pred,lumo,-0.04008694895092972,3.5146804108494e-06,-0.07666717181167726,6.676853596437359e-19
