res_u0,res_u0_norm,res_gap,res_mu,smiles
0.37570590109252167,3.392663926267178,7.0204340335891775,-0.83912765853775,C
0.6248534676578008,2.8114180944921383,1.27674892429835,-1.3477065136631268,C#C
0.5464546215701664,1.2268324851058565,-1.4960521522043861,-1.838398993213866,C#CC#C
0.4326091057967268,0.6456147433516914,-2.3422516656135572,-2.317571465486334,C#CC#CC#C
0.32593600871580575,0.36305246438011884,-2.40413530260676,-2.812459974178165,C#CC#CC#CC#C
-0.0432080676614036,-0.051082831436310386,-2.1825417466332695,0.7842686841543031,C#CC#CC#CC#N
0.04221142982464686,0.03911598412293217,-0.9685085964316786,-0.48688035743125874,C#CC#CC#CC(=O)N
0.17602774568392937,0.17256116320934314,-2.4558778839235447,-0.7360199710220242,C#CC#CC#CC1CC1
0.3041967994496901,0.300374742766361,-2.5842098728125653,-1.945270508018611,C#CC#CC#CC1CN1
0.27566438605071414,0.2719214634233713,-2.3216294250253187,-1.3791399670441673,C#CC#CC#CC1CO1
0.3541940665815311,0.3947546097003725,-1.5224671342759521,-0.13487460710559154,C#CC#CC#CC=O
-0.03254017899929135,-0.03542830266640563,-1.3996979024107492,-0.5254685605126052,C#CC#CC#CCC#N
0.27163746830908625,0.26790571425446763,-0.49829532807929255,-1.5760620010470767,C#CC#CC#CCC=O
0.2412955761376438,0.2376479746908041,-2.333083284282725,-1.282482434231553,C#CC#CC#CCCO
0.3487776010727154,0.3886779862643783,-2.5890277448617045,-1.0479967298292323,C#CC#CC#CCO
0.06107422318883731,0.0898580858609004,-1.9678170670564432,0.7213904828365983,C#CC#CC#N
0.2489020605541149,0.2452333626807205,0.6199131047080064,0.6114241596904467,C#CC#CC(=N)NC=O
0.8393418349696689,0.8340355646444764,-1.185703762208407,-2.959867350313095,C#CC#CC(=NO)C#C
0.4899274274226893,0.5470311302821956,-1.0398112103276664,-0.3079035905964446,C#CC#CC(=O)C#C
0.10803238448137698,0.11859078218970953,-1.127921872221001,0.3203251790106715,C#CC#CC(=O)C#N
0.2713942908047705,0.2676632111979114,-0.30115528349330145,-2.31175861431111,C#CC#CC(=O)C(=N)N
0.03765948728710482,0.03457666630347935,-0.601673413645717,-3.196157201692748,C#CC#CC(=O)C(=O)N
0.17140797885583614,0.1679542092085987,-1.1116644551423003,-0.21511729103187113,C#CC#CC(=O)C1CC1
0.4037489515825724,0.45034923595162735,-0.7091752218378262,-1.4229182355597156,C#CC#CC(=O)C=O
