mol_id_1,mol_id_2,formula,actual_diff,pred_diff,split_1,split_2
gdb_789,gdb_754,C2H2N2O2,36.99848934457776,41.6681921,train,val
gdb_789,gdb_775,C2H2N2O2,37.03554034457778,26.584931100000002,train,test
gdb_3936,gdb_3836,C2H2N4O,36.96163134457777,0.05137299999999989,train,test
gdb_3936,gdb_3838,C2H2N4O,37.12078434457777,-10.3858374,train,train
gdb_3936,gdb_3850,C2H2N4O,37.003460344577775,-10.348811999999999,train,train
gdb_3936,gdb_3905,C2H2N4O,37.05852534457779,-9.073139,train,train
gdb_3936,gdb_3929,C2H2N4O,21.923522329240427,-10.7649992,train,train
gdb_3936,gdb_3931,C2H2N4O,21.92931532924041,-11.917571859999999,train,train
gdb_3939,gdb_3836,C2H2N4O,36.928423344577766,11.65996201,train,test
gdb_3939,gdb_3838,C2H2N4O,37.08757634457777,1.22275161,train,train
gdb_3939,gdb_3850,C2H2N4O,36.97025234457777,1.25977701,train,train
gdb_3939,gdb_3905,C2H2N4O,37.025317344577786,2.53545001,train,train
gdb_3939,gdb_3929,C2H2N4O,21.890314329240425,0.8435898100000001,train,train
gdb_3939,gdb_3931,C2H2N4O,21.896107329240408,-0.30898285,train,train
gdb_21477,gdb_21404,C2H2N4O2,52.19381535991511,47.84296725,train,test
gdb_21477,gdb_21408,C2H2N4O2,52.20040435991507,1.6156830800000002,train,train
gdb_21477,gdb_21422,C2H2N4O2,52.205460359915094,48.929387250000005,train,test
gdb_21477,gdb_21427,C2H2N4O2,52.20972435991507,1.9751305499999998,train,train
gdb_21477,gdb_21442,C2H2N4O2,37.05238634457777,-1.7471480500000003,train,train
gdb_21477,gdb_21443,C2H2N4O2,52.16100435991507,0.971609595,train,train
gdb_21477,gdb_21444,C2H2N4O2,52.110805359915105,-0.0641799500000001,train,train
gdb_21477,gdb_21776,C2H2N4O2,52.20952835991511,-2.62906795,train,train
gdb_21477,gdb_21819,C2H2N4O2,37.09889434457773,1.86749885,train,train
gdb_21506,gdb_21404,C2H2N4O2,52.15112335991512,45.95077965,train,test
gdb_21506,gdb_21408,C2H2N4O2,52.15771235991508,-0.2765045199999999,train,train
gdb_21506,gdb_21422,C2H2N4O2,52.162768359915106,47.037199650000005,train,test
gdb_21506,gdb_21427,C2H2N4O2,52.16703235991508,0.08294294999999996,train,train
gdb_21506,gdb_21442,C2H2N4O2,37.00969434457778,-3.63933565,train,train
gdb_21506,gdb_21443,C2H2N4O2,52.11831235991508,-0.920578005,train,train
gdb_21506,gdb_21444,C2H2N4O2,52.06811335991512,-1.95636755,train,train
gdb_21506,gdb_21776,C2H2N4O2,52.16683635991512,-4.52125555,train,train
gdb_21506,gdb_21819,C2H2N4O2,37.05620234457774,-0.024688749999999926,train,train
gdb_21620,gdb_21404,C2H2N4O2,36.88299534457781,34.861399,val,test
gdb_21620,gdb_21408,C2H2N4O2,36.88958434457777,-11.36588517,val,train
gdb_21620,gdb_21422,C2H2N4O2,36.894640344577795,35.947819,val,test
gdb_21620,gdb_21427,C2H2N4O2,36.89890434457777,-11.0064377,val,train
gdb_21620,gdb_21442,C2H2N4O2,21.74156632924047,-14.7287163,val,train
gdb_21620,gdb_21443,C2H2N4O2,36.85018434457777,-12.009958655,val,train
gdb_21620,gdb_21444,C2H2N4O2,36.799985344577806,-13.0457482,val,train
gdb_21620,gdb_21776,C2H2N4O2,36.89870834457781,-15.6106362,val,train
gdb_21620,gdb_21819,C2H2N4O2,21.78807432924043,-11.1140694,val,train
gdb_21624,gdb_21404,C2H2N4O2,37.00670034457778,47.57399056,train,test
gdb_21624,gdb_21408,C2H2N4O2,37.01328934457774,1.34670639,train,train
gdb_21624,gdb_21422,C2H2N4O2,37.01834534457777,48.66041056,train,test
gdb_21624,gdb_21427,C2H2N4O2,37.022609344577745,1.70615386,train,train
gdb_21624,gdb_21442,C2H2N4O2,21.865271329240443,-2.0161247400000004,train,train
gdb_21624,gdb_21443,C2H2N4O2,36.97388934457774,0.702632905,train,train
gdb_21624,gdb_21444,C2H2N4O2,36.92369034457778,-0.3331566400000001,train,train
gdb_21624,gdb_21776,C2H2N4O2,37.022413344577785,-2.89804464,train,train
gdb_21624,gdb_21819,C2H2N4O2,21.911779329240403,1.59852216,train,train
gdb_21701,gdb_21404,C2H2N4O2,37.07382234457776,35.547912999999994,val,test
gdb_21701,gdb_21408,C2H2N4O2,37.080411344577726,-10.679371170000001,val,train
gdb_21701,gdb_21422,C2H2N4O2,37.08546734457775,36.634333,val,test
gdb_21701,gdb_21427,C2H2N4O2,37.08973134457773,-10.3199237,val,train
gdb_21701,gdb_21442,C2H2N4O2,21.932393329240426,-14.042202300000001,val,train
gdb_21701,gdb_21443,C2H2N4O2,37.041011344577726,-11.323444655000001,val,train
gdb_21701,gdb_21444,C2H2N4O2,36.99081234457776,-12.359234200000001,val,train
gdb_21701,gdb_21776,C2H2N4O2,37.08953534457777,-14.924122200000001,val,train
gdb_21701,gdb_21819,C2H2N4O2,21.978901329240387,-10.427555400000001,val,train
gdb_21835,gdb_21404,C2H2N4O2,52.16133235991515,45.8501633,train,test
gdb_21835,gdb_21408,C2H2N4O2,52.16792135991511,-0.37712086999999994,train,train
gdb_21835,gdb_21422,C2H2N4O2,52.17297735991514,46.9365833,train,test
gdb_21835,gdb_21427,C2H2N4O2,52.177241359915115,-0.01767340000000006,train,train
gdb_21835,gdb_21442,C2H2N4O2,37.01990334457781,-3.739952,train,train
gdb_21835,gdb_21443,C2H2N4O2,52.12852135991511,-1.021194355,train,train
gdb_21835,gdb_21444,C2H2N4O2,52.07832235991515,-2.0569839,train,train
gdb_21835,gdb_21776,C2H2N4O2,52.177045359915155,-4.6218719,train,train
gdb_21835,gdb_21819,C2H2N4O2,37.06641134457777,-0.12530509999999995,train,train
gdb_21870,gdb_21404,C2H2N4O2,36.9166563445778,50.5453842,train,test
gdb_21870,gdb_21408,C2H2N4O2,36.923245344577765,4.31810003,train,train
gdb_21870,gdb_21422,C2H2N4O2,36.92830134457779,51.631804200000005,train,test
gdb_21870,gdb_21427,C2H2N4O2,36.93256534457777,4.677547499999999,train,train
gdb_21870,gdb_21442,C2H2N4O2,21.775227329240465,0.9552688999999996,train,train
gdb_21870,gdb_21443,C2H2N4O2,36.883845344577765,3.674026545,train,train
gdb_21870,gdb_21444,C2H2N4O2,36.8336463445778,2.6382369999999997,train,train
gdb_21870,gdb_21776,C2H2N4O2,36.93236934457781,0.07334899999999989,train,train
gdb_21870,gdb_21819,C2H2N4O2,21.821735329240425,4.5699157999999995,train,train
gdb_21872,gdb_21404,C2H2N4O2,37.041749344577795,48.9766586,train,test
gdb_21872,gdb_21408,C2H2N4O2,37.04833834457776,2.7493744300000005,train,train
gdb_21872,gdb_21422,C2H2N4O2,37.05339434457778,50.063078600000004,train,test
gdb_21872,gdb_21427,C2H2N4O2,37.05765834457776,3.1088219,train,train
gdb_21872,gdb_21442,C2H2N4O2,21.900320329240458,-0.6134567,train,train
gdb_21872,gdb_21443,C2H2N4O2,37.00893834457776,2.105300945,train,train
gdb_21872,gdb_21444,C2H2N4O2,36.95873934457779,1.0695114000000001,train,train
gdb_21872,gdb_21776,C2H2N4O2,37.0574623445778,-1.4953765999999997,train,train
gdb_21872,gdb_21819,C2H2N4O2,21.946828329240418,3.0011902000000004,train,train
gdb_21876,gdb_21404,C2H2N4O2,36.98382434457778,46.47426293,train,test
gdb_21876,gdb_21408,C2H2N4O2,36.990413344577746,0.24697876000000002,train,train
gdb_21876,gdb_21422,C2H2N4O2,36.99546934457777,47.560682930000006,train,test
gdb_21876,gdb_21427,C2H2N4O2,36.99973334457775,0.6064262299999998,train,train
gdb_21876,gdb_21442,C2H2N4O2,21.842395329240446,-3.1158523700000003,train,train
gdb_21876,gdb_21443,C2H2N4O2,36.951013344577746,-0.39709472500000004,train,train
gdb_21876,gdb_21444,C2H2N4O2,36.90081434457778,-1.4328842700000002,train,train
gdb_21876,gdb_21776,C2H2N4O2,36.99953734457779,-3.99777227,train,train
gdb_21876,gdb_21819,C2H2N4O2,21.888903329240406,0.49879453,train,train
gdb_21884,gdb_21404,C2H2N4O2,52.12864935991513,45.3553131,train,test
gdb_21884,gdb_21408,C2H2N4O2,52.13523835991509,-0.8719710699999998,train,train
gdb_21884,gdb_21422,C2H2N4O2,52.14029435991512,46.4417331,train,test
gdb_21884,gdb_21427,C2H2N4O2,52.144558359915095,-0.5125236,train,train
gdb_21884,gdb_21442,C2H2N4O2,36.98722034457779,-4.2348022,train,train
gdb_21884,gdb_21443,C2H2N4O2,52.09583835991509,-1.516044555,train,train
gdb_21884,gdb_21444,C2H2N4O2,52.04563935991513,-2.5518340999999998,train,train
gdb_21884,gdb_21776,C2H2N4O2,52.144362359915135,-5.1167221,train,train
gdb_21884,gdb_21819,C2H2N4O2,37.03372834457775,-0.6201552999999999,train,train
gdb_21983,gdb_21404,C2H2N4O2,52.192059359915106,51.3170867,val,test
gdb_21983,gdb_21408,C2H2N4O2,52.19864835991507,5.08980253,val,train
gdb_21983,gdb_21422,C2H2N4O2,52.20370435991509,52.4035067,val,test
gdb_21983,gdb_21427,C2H2N4O2,52.20796835991507,5.449249999999999,val,train
gdb_21983,gdb_21442,C2H2N4O2,37.05063034457777,1.7269713999999996,val,train
gdb_21983,gdb_21443,C2H2N4O2,52.15924835991507,4.445729045,val,train
gdb_21983,gdb_21444,C2H2N4O2,52.109049359915105,3.4099394999999997,val,train
gdb_21983,gdb_21776,C2H2N4O2,52.20777235991511,0.8450514999999998,val,train
gdb_21983,gdb_21819,C2H2N4O2,37.09713834457773,5.3416182999999995,val,train
gdb_21984,gdb_21404,C2H2N4O2,52.20929135991514,46.4876449,train,test
gdb_21984,gdb_21408,C2H2N4O2,52.215880359915104,0.26036073000000004,train,train
gdb_21984,gdb_21422,C2H2N4O2,52.22093635991513,47.5740649,train,test
gdb_21984,gdb_21427,C2H2N4O2,52.22520035991511,0.6198081999999999,train,train
gdb_21984,gdb_21442,C2H2N4O2,37.067862344577804,-3.1024704,train,train
gdb_21984,gdb_21443,C2H2N4O2,52.176480359915104,-0.383712755,train,train
gdb_21984,gdb_21444,C2H2N4O2,52.12628135991514,-1.4195023,train,train
gdb_21984,gdb_21776,C2H2N4O2,52.22500435991515,-3.9843903,train,train
gdb_21984,gdb_21819,C2H2N4O2,37.114370344577765,0.5121765,train,train
gdb_129542,gdb_129511,C2H2N4O3,37.05293534457758,-2.5805701599999997,train,train
gdb_131974,gdb_129511,C2H2N4O3,37.10351834457765,-1.74004356,train,train
gdb_131977,gdb_129511,C2H2N4O3,37.14244634457759,-0.95863342,train,train
gdb_131983,gdb_129511,C2H2N4O3,37.11650034457762,2.9576721399999997,train,train
gdb_131988,gdb_129511,C2H2N4O3,37.12469734457761,-2.5967711600000003,train,train
gdb_131990,gdb_129511,C2H2N4O3,37.16027934457759,2.9668768400000003,test,train
gdb_132000,gdb_129511,C2H2N4O3,37.09078634457762,2.01240344,val,train
gdb_21349,gdb_21380,C2H2N6,22.944016070945565,1.24197761,train,train
gdb_21349,gdb_21393,C2H2N6,22.94351207094553,-1.41511539,train,train
gdb_21349,gdb_21394,C2H2N6,22.930883070945526,-0.7067928299999999,train,train
